FECHA,DIA,Tmax,Tmin,Tmed,Precip,extremo,amplitud,categoria_tmax,seco,año,mes
2004-01-01,1.0,18.0,2.5,11.1,0.0,False,15.5,Frío,True,2004,1
2004-01-02,2.0,17.4,5.7,10.6,0.0,False,11.7,Frío,True,2004,1
2004-01-03,3.0,15.1,0.8,7.9,0.0,False,14.299999999999999,Frío,True,2004,1
2004-01-04,4.0,16.2,-0.4,7.2,0.0,False,16.599999999999998,Frío,True,2004,1
2004-01-05,5.0,16.4,0.6,7.1,0.0,False,15.799999999999999,Frío,True,2004,1
2004-01-06,6.0,16.5,0.4,6.8,0.0,False,16.1,Frío,True,2004,1
2004-01-07,7.0,16.0,1.4,8.3,0.0,False,14.6,Frío,True,2004,1
2004-01-08,8.0,19.9,6.1,13.0,0.0,False,13.799999999999999,Frío,True,2004,1
2004-01-09,9.0,20.3,7.2,14.0,0.0,False,13.100000000000001,Templado,True,2004,1
2004-01-10,10.0,20.4,5.8,12.2,0.0,False,14.599999999999998,Templado,True,2004,1
2004-01-11,11.0,22.4,6.8,12.5,0.0,False,15.599999999999998,Templado,True,2004,1
2004-01-12,12.0,21.0,4.7,11.3,0.0,False,16.3,Templado,True,2004,1
2004-01-13,13.0,21.7,5.1,10.9,0.0,False,16.6,Templado,True,2004,1
2004-01-14,14.0,19.9,3.6,11.0,0.0,False,16.299999999999997,Frío,True,2004,1
2004-01-15,15.0,15.2,5.1,9.0,0.0,False,10.1,Frío,True,2004,1
2004-01-16,16.0,17.2,3.5,9.4,0.2,False,13.7,Frío,False,2004,1
2004-01-17,17.0,17.8,2.1,9.6,0.0,False,15.700000000000001,Frío,True,2004,1
2004-01-18,18.0,11.3,3.1,8.3,0.6,False,8.200000000000001,Frío,False,2004,1
2004-01-19,19.0,11.0,-2.8,4.5,0.0,False,13.8,Frío,True,2004,1
2004-01-20,20.0,12.6,-1.2,5.0,0.0,False,13.799999999999999,Frío,True,2004,1
2004-01-21,21.0,17.7,0.2,8.3,0.0,False,17.5,Frío,True,2004,1
2004-01-22,22.0,18.4,1.6,8.4,0.0,False,16.799999999999997,Frío,True,2004,1
2004-01-23,23.0,20.6,-0.5,9.6,0.0,False,21.1,Templado,True,2004,1
2004-01-24,24.0,20.7,7.1,12.9,0.0,False,13.6,Templado,True,2004,1
2004-01-25,25.0,18.8,4.9,11.5,0.0,False,13.9,Frío,True,2004,1
2004-01-26,26.0,22.0,8.4,15.2,0.0,False,13.6,Templado,True,2004,1
2004-01-27,27.0,20.1,12.9,16.0,0.0,False,7.200000000000001,Templado,True,2004,1
2004-01-28,28.0,16.8,6.3,12.4,0.0,False,10.5,Frío,True,2004,1
2004-01-29,29.0,14.6,1.0,7.2,0.0,False,13.6,Frío,True,2004,1
2004-01-30,30.0,13.8,2.8,7.4,0.0,False,11.0,Frío,True,2004,1
2004-01-31,31.0,14.8,1.6,8.3,0.0,False,13.200000000000001,Frío,True,2004,1
2004-02-01,32.0,19.6,5.9,12.4,0.0,False,13.700000000000001,Frío,True,2004,2
2004-02-02,33.0,18.4,8.7,12.8,0.0,False,9.7,Frío,True,2004,2
2004-02-03,34.0,19.4,6.1,11.5,0.0,False,13.299999999999999,Frío,True,2004,2
2004-02-04,35.0,19.5,5.3,10.5,0.2,False,14.2,Frío,False,2004,2
2004-02-05,36.0,17.3,4.7,9.4,0.0,False,12.600000000000001,Frío,True,2004,2
2004-02-06,37.0,18.0,2.5,9.2,0.4,False,15.5,Frío,False,2004,2
2004-02-07,38.0,20.9,2.9,10.5,0.0,False,18.0,Templado,True,2004,2
2004-02-08,39.0,12.0,7.2,9.3,0.0,False,4.8,Frío,True,2004,2
2004-02-09,40.0,11.8,8.3,9.7,0.0,False,3.5,Frío,True,2004,2
2004-02-10,41.0,13.7,7.5,10.1,0.0,False,6.199999999999999,Frío,True,2004,2
2004-02-11,42.0,16.4,3.7,9.4,0.0,False,12.7,Frío,True,2004,2
2004-02-12,43.0,20.7,2.4,10.8,0.0,False,18.3,Templado,True,2004,2
2004-02-13,44.0,16.8,2.2,9.2,0.0,False,14.600000000000001,Frío,True,2004,2
2004-02-14,45.0,17.7,2.5,8.6,0.0,False,15.2,Frío,True,2004,2
2004-02-15,46.0,18.2,5.2,10.0,0.0,False,13.0,Frío,True,2004,2
2004-02-16,47.0,19.9,3.5,10.7,0.0,False,16.4,Frío,True,2004,2
2004-02-17,48.0,14.1,4.7,9.4,0.0,False,9.399999999999999,Frío,True,2004,2
2004-02-18,49.0,12.8,3.5,8.0,0.0,False,9.3,Frío,True,2004,2
2004-02-19,50.0,12.4,1.1,7.2,0.0,False,11.3,Frío,True,2004,2
2004-02-20,51.0,11.6,7.5,8.6,8.0,False,4.1,Frío,False,2004,2
2004-02-21,52.0,16.3,6.9,11.1,1.4,False,9.4,Frío,False,2004,2
2004-02-22,53.0,14.9,0.8,8.9,0.0,False,14.1,Frío,True,2004,2
2004-02-23,54.0,16.6,4.1,10.6,0.0,False,12.500000000000002,Frío,True,2004,2
2004-02-24,55.0,14.3,6.0,9.7,1.0,False,8.3,Frío,False,2004,2
